COUNTRY,CRIMINALITY_SCORE,NORMALIZED_CRIMINALITY_SCORE,RESILIENCE_SCORE,NORMALIZED_RESILIENCE_SCORE,SCORE
LI,2.27,0.900459418070444,8.46,0.976157082748948,0.938308250409696
FI,2.98,0.791730474732006,8.63,1,0.895865237366003
IS,3.37,0.732006125574273,8.21,0.94109396914446,0.836550047359366
AD,3.22,0.754977029096478,7.96,0.906030855539972,0.830503942318225
LU,2.85,0.811638591117917,7.5,0.841514726507714,0.826576658812816
TV,1.62,1,6.08,0.642356241234222,0.821178120617111
SG,3.47,0.716692189892802,7.83,0.887798036465638,0.80224511317922
UY,3.22,0.754977029096478,7.5,0.841514726507714,0.798245877802096
NO,3.75,0.673813169984686,7.92,0.900420757363254,0.78711696367397
DK,4.02,0.632465543644717,8.13,0.929873772791024,0.78116965821787
NZ,4.08,0.623277182235835,7.88,0.894810659186536,0.759043920711185
LV,3.9,0.650842266462481,7.58,0.85273492286115,0.751788594661815
KR,4.43,0.569678407350689,8.08,0.922861150070126,0.746269778710408
EE,4.25,0.597243491577335,7.88,0.894810659186536,0.746027075381936
WS,2.43,0.875957120980092,5.83,0.607293127629733,0.741625124304913
ST,1.7,0.987748851454824,4.92,0.479663394109397,0.73370612278211
MH,2.52,0.862174578866769,5.79,0.601683029453015,0.731928804159892
LT,3.9,0.650842266462481,7.29,0.812061711079944,0.731451988771212
AU,4,0.635528330781011,7.38,0.82468443197756,0.730106381379285
AT,4.13,0.6156202143951,7.5,0.841514726507714,0.728567470451407
CA,3.88,0.653905053598775,7.21,0.800841514726508,0.727373284162641
MC,2.58,0.852986217457887,5.63,0.579242636746143,0.716114427102015
BB,3.07,0.777947932618683,6.13,0.649368863955119,0.713658398286901
NR,2.05,0.934150076569678,5,0.490883590462833,0.712516833516256
JP,4.28,0.592649310872894,7.38,0.82468443197756,0.708666871425227
AM,2.82,0.816232771822358,5.71,0.590462833099579,0.703347802460969
FM,3,0.788667687595712,5.88,0.614305750350631,0.701486718973172
VU,2.43,0.875957120980092,5.13,0.509116409537167,0.692536765258629
PW,2.7,0.834609494640123,5.33,0.537166900420757,0.68588819753044
SE,4.7,0.52833078101072,7.46,0.835904628330996,0.682117704670858
DM,2.63,0.845329249617152,5.17,0.514726507713885,0.680027878665518
BE,4.43,0.569678407350689,7.04,0.776998597475456,0.673338502413073
