COUNTRY,CRIMINALITY_SCORE,NORMALIZED_CRIMINALITY_SCORE,RESILIENCE_SCORE,NORMALIZED_RESILIENCE_SCORE,SCORE
Liechtenstein,2.27,0.900459418070444,8.46,0.976157082748948,0.938308250409696
Finland,2.98,0.791730474732006,8.63,1,0.895865237366003
Iceland,3.37,0.732006125574273,8.21,0.94109396914446,0.836550047359366
Andorra,3.22,0.754977029096478,7.96,0.906030855539972,0.830503942318225
Luxembourg,2.85,0.811638591117917,7.5,0.841514726507714,0.826576658812816
Tuvalu,1.62,1,6.08,0.642356241234222,0.821178120617111
Singapore,3.47,0.716692189892802,7.83,0.887798036465638,0.80224511317922
Uruguay,3.22,0.754977029096478,7.5,0.841514726507714,0.798245877802096
Norway,3.75,0.673813169984686,7.92,0.900420757363254,0.78711696367397
Denmark,4.02,0.632465543644717,8.13,0.929873772791024,0.78116965821787
New Zealand,4.08,0.623277182235835,7.88,0.894810659186536,0.759043920711185
Latvia,3.9,0.650842266462481,7.58,0.85273492286115,0.751788594661815
"Korea, Rep,",4.43,0.569678407350689,8.08,0.922861150070126,0.746269778710408
Estonia,4.25,0.597243491577335,7.88,0.894810659186536,0.746027075381936
Samoa,2.43,0.875957120980092,5.83,0.607293127629733,0.741625124304913
Sao Tome and Principe,1.7,0.987748851454824,4.92,0.479663394109397,0.73370612278211
Marshall Islands,2.52,0.862174578866769,5.79,0.601683029453015,0.731928804159892
Lithuania,3.9,0.650842266462481,7.29,0.812061711079944,0.731451988771212
Australia,4,0.635528330781011,7.38,0.82468443197756,0.730106381379285
Austria,4.13,0.6156202143951,7.5,0.841514726507714,0.728567470451407
Canada,3.88,0.653905053598775,7.21,0.800841514726508,0.727373284162641
Monaco,2.58,0.852986217457887,5.63,0.579242636746143,0.716114427102015
Barbados,3.07,0.777947932618683,6.13,0.649368863955119,0.713658398286901
Nauru,2.05,0.934150076569678,5,0.490883590462833,0.712516833516256
Japan,4.28,0.592649310872894,7.38,0.82468443197756,0.708666871425227
Armenia,2.82,0.816232771822358,5.71,0.590462833099579,0.703347802460969
Micronesia (Federated States of),3,0.788667687595712,5.88,0.614305750350631,0.701486718973172
Vanuatu,2.43,0.875957120980092,5.13,0.509116409537167,0.692536765258629
Palau,2.7,0.834609494640123,5.33,0.537166900420757,0.68588819753044
Sweden,4.7,0.52833078101072,7.46,0.835904628330996,0.682117704670858
Dominica,2.63,0.845329249617152,5.17,0.514726507713885,0.680027878665518
Belgium,4.43,0.569678407350689,7.04,0.776998597475456,0.673338502413073
Netherlands,4.97,0.486983154670751,7.46,0.835904628330996,0.661443891500873
"St, Vincent and the Grenadines",3.08,0.776416539050536,5.38,0.544179523141655,0.660298031096095
Grenada,2.93,0.799387442572741,5.13,0.509116409537167,0.654251926054954
Cabo Verde,4.28,0.592649310872894,6.58,0.712482468443198,0.652565889658046
Ireland,5.08,0.470137825421133,7.33,0.817671809256662,0.643904817338898
"St, Lucia",3.53,0.707503828483921,5.58,0.572230014025245,0.639866921254583
Switzerland,4.87,0.502297090352221,7.04,0.776998597475456,0.639647843913838
Cuba,3.37,0.732006125574273,5.38,0.544179523141655,0.638092824357964
Germany,5.33,0.431852986217458,7.5,0.841514726507714,0.636683856362586
Kiribati,2.45,0.872894333843798,4.33,0.396914446002805,0.634904389923301
Rwanda,3.6,0.696784073506891,5.54,0.566619915848527,0.631701994677709
Brunei,2.85,0.811638591117917,4.58,0.431977559607293,0.621808075362605
San Marino,3.48,0.715160796324655,5.21,0.520336605890603,0.617748701107629
Bahamas,3.75,0.673813169984686,5.5,0.561009817671809,0.617411493828248
Antigua and Barbuda,2.98,0.791730474732006,4.58,0.431977559607293,0.61185401716965
