COUNTRY,WHR_SCORE,SCORE
Finland,7.74069976806641,1
Denmark,7.5826997756958,0.973752845273558
Iceland,7.52510023117065,0.964184337486684
Sweden,7.34409999847412,0.93411635430625
Israel,7.34110021591187,0.933618026705876
Netherlands,7.3193998336792,0.930013132290769
Norway,7.30170011520386,0.927072833101722
Luxembourg,7.12190008163452,0.897204228489106
Switzerland,7.06020021438599,0.886954570005107
Australia,7.05690002441406,0.886406338353193
New Zealand,7.02920007705689,0.881804788737337
Costa Rica,6.95539999008179,0.869545026742433
Kuwait,6.95139980316162,0.868880510729153
Austria,6.90469980239868,0.861122648672586
Canada,6.8996000289917,0.860275467988115
Belgium,6.89419984817505,0.859378383252105
Ireland,6.83799982070923,0.850042364975182
Czechia,6.82180023193359,0.847351269192712
Lithuania,6.81750011444092,0.846636928340673
United Kingdom,6.74900007247925,0.835257616397933
Slovenia,6.74329996109009,0.834310706823163
United Arab Emirates,6.73309993743897,0.832616266241442
United States,6.72480010986328,0.831237488588904
Germany,6.7185001373291,0.830190929336616
Mexico,6.67799997329712,0.82346299184849
Uruguay,6.61149978637695,0.812415898305999
France,6.60900020599365,0.812000664912077
Saudi Arabia,6.5935001373291,0.809425774278192
Kosovo,6.56099987030029,0.804026789603845
Singapore,6.52279996871948,0.797680974567509
Taiwan Province of China,6.50349998474121,0.794474837288038
Romania,6.49119997024536,0.792431543622221
El Salvador,6.46869993209839,0.788693809374682
Estonia,6.44770002365112,0.785205278533721
Poland,6.44150018692017,0.784175353965279
Spain,6.42089986801148,0.780753203434143
Serbia,6.41079998016357,0.779075397536269
Chile,6.36030006408691,0.770686288834115
Panama,6.35820007324219,0.770337435750019
Malta,6.34579992294312,0.768277507400355
Italy,6.32350015640259,0.76457304252051
Guatemala,6.28700017929077,0.758509621045663
Nicaragua,6.28389978408814,0.757994579548662
Brazil,6.27199983596802,0.756017745405451
Slovakia,6.25710010528564,0.753542583661865
Latvia,6.23449993133545,0.74978821473048
Uzbekistan,6.19500017166138,0.743226465655259
Argentina,6.18809986114502,0.742080177512672
Kazakhstan,6.1875,0.741980527835153
Cyprus,6.06809997558594,0.722145647667653
Japan,6.05980014801025,0.720766870015115
South Korea,6.05789995193481,0.720451207085932
Philippines,6.04759979248047,0.718740131820364
Vietnam,6.04300022125244,0.717976045342346
Portugal,6.02960014343262,0.715750007792557
Hungary,6.01690006256104,0.713640254604134
Paraguay,5.97650003433228,0.706928951799855
Thailand,5.97609996795654,0.706862492277249
Malaysia,5.97520017623901,0.706713017760971
China,5.97270011901856,0.706297705154269
Honduras,5.96840000152588,0.70558336430223
Bahrain,5.95909976959229,0.704038398236787
Croatia,5.94229984283447,0.701247573564018
Greece,5.93359994888306,0.699802336388874
Bosnia and Herzegovina,5.8769998550415,0.690399858589345
Libya,5.86630010604858,0.688622403013951
Jamaica,5.84170007705689,0.684535815682317
Peru,5.84089994430542,0.684402896637105
Dominican Republic,5.82280015945435,0.681396137925451
Mauritius,5.81640005111694,0.680332943989316
Moldova,5.81589984893799,0.680249849782864
Russia,5.78529977798462,0.6751665280377
Bolivia,5.78429985046387,0.675000418837575
Ecuador,5.72450017929077,0.665066423282759
Kyrgyzstan,5.71350002288818,0.663239063655826
Montenegro,5.70699977874756,0.662159235035844
Mongolia,5.69619989395142,0.660365144776604
Colombia,5.69509983062744,0.660182400892633
Venezuela,5.60669994354248,0.645497301992903
Indonesia,5.56829977035523,0.639118217588873
Bulgaria,5.46269989013672,0.621575834493768
Armenia,5.45489978790283,0.620280071834902
South Africa,5.42199993133545,0.614814706850729
North Macedonia,5.36910009384155,0.60602692022572
Algeria,5.36350011825562,0.605096645334797
Hong Kong S.A.R. of China,5.31640005111694,0.597272323755624
Albania,5.30420017242432,0.595245664773653
Tajikistan,5.28070020675659,0.591341821325989
Congo (Brazzaville),5.22149991989136,0.581507396235912
Mozambique,5.21640014648438,0.580660215551441
Georgia,5.18470001220703,0.575394149922306
Iraq,5.16599988937378,0.572287662320354
Nepal,5.15840005874634,0.571025169029181
Laos,5.13889980316162,0.567785762382017
Gabon,5.10629987716675,0.562370222236604
Ivory Coast,5.08010005950928,0.558017876027325
Guinea,5.02330017089844,0.548582208072883
Turkiye,4.97529983520508,0.540608332764652
Senegal,4.96859979629517,0.539495313989757
Iran,4.92280006408691,0.531887005662248
Azerbaijan,4.89340019226074,0.527003062484903
Nigeria,4.88079977035523,0.524909864767546
State of Palestine,4.87949991226196,0.524693930728661
Cameroon,4.87440013885498,0.523846750044191
Ukraine,4.8730001449585,0.52361418132146
Namibia,4.83169984817505,0.516753324788123
Morocco,4.79470014572144,0.510606888319604
Pakistan,4.65670013427734,0.487682155233998
Niger,4.55630016326904,0.47100358750721
Burkina Faso,4.5479998588562,0.469624730641892
Mauritania,4.50509977340698,0.462498115230911
Gambia,4.48489999771118,0.459142503435161
Chad,4.47130012512207,0.45688327573046
Kenya,4.46960020065308,0.45660088216897
Tunisia,4.42180013656616,0.448660276228431
Benin,4.37739992141724,0.441284457410872
Uganda,4.37169981002808,0.440337547836103
Myanmar,4.35449981689453,0.437480263640728
Cambodia,4.34070014953613,0.435187845781113
Ghana,4.28940010070801,0.426665818033748
Liberia,4.26859998703003,0.423210477347699
Mali,4.23199987411499,0.417130421189007
Madagascar,4.22790002822876,0.416449349704661
Togo,4.2140998840332,0.414156852632266
Jordan,4.18580007553101,0.409455653338892
India,4.05410003662109,0.387577479505574
Egypt,3.97659993171692,0.37470306594254
Sri Lanka,3.89809989929199,0.361662543179382
Bangladesh,3.88590002059937,0.359635884197411
Ethiopia,3.86089992523193,0.35548283734317
Tanzania,3.78060007095337,0.342143325941065
Comoros,3.56629991531372,0.306543518253853
Yemen,3.56100010871887,0.305663107808079
Zambia,3.50239992141724,0.29592837200191
Eswatini,3.50200009346008,0.295861952085694
Malawi,3.4210000038147,0.282406116715833
Botswana,3.38339996337891,0.276159951357016
Zimbabwe,3.34109997749329,0.269133025229944
Congo (Kinshasa),3.2953999042511,0.261541272373501
Sierra Leone,3.24519991874695,0.253201988510107
Lesotho,3.18619990348816,0.243400832787722
Lebanon,2.70650005340576,0.163712498640016
Afghanistan,1.72099995613098,0
