COUNTRY,WRI_SCORE,SCORE
Nicaragua,21.94,0.534346244382624
United States of America,22.56,0.521078536272202
Ecuador,23.81,0.494329124759255
Bolivarian Republic of Venezuela,24.2,0.485983308367216
Viet Nam,24.24,0.485127327198802
Yemen,24.47,0.480205435480419
Somalia,24.64,0.476567515514659
Madagascar,24.8,0.473143590841001
Papua New Guinea,26.35,0.439974320564948
Peru,27.01,0.425850631286112
Pakistan,27.02,0.425636635994008
Bangladesh,27.73,0.410442970254654
Russian Federation,28.12,0.402097153862615
Mozambique,34.44,0.266852129253156
Myanmar,35.85,0.236678793066552
Mexico,35.93,0.234966830729724
Colombia,37.81,0.194735715814252
India,40.96,0.127327198801626
Indonesia,41.13,0.123689278835865
Philippines,46.91,0
